"Hi, what is 2+3 added by 22?","Hey, it is {0}","Oops I am sorry couldn't really understand that."
"Hi, what is 2+3 plus 22?","Hey it is {0}","Oops I am sorry couldn't really understand that."
"Hey, what is 2+3 multiplied by 22?","That should be {0}","Ahh I am sorry couldn't really understand that."
"what is 24+55 multiplied by 55?","That is {0}","That didn't work. Can I do something else fo you."
"what is 24+55 divided by 2?","That computes to {0}","Pheww didn't work. Can I do something else fo you."
"How much is 34 multiplied by 73?","Well it is {0}","Ahh did you miss somesthing?"
"Can you please compute 43 divided by 2?","Sure..it is {0}","Nooo...couldn't process that."
"Compute 24*43 plus 15?","Well, that should compute to {0}.","Oops couldn't compute that"
"what should be 55 multiplied by 2","That should be {0}","Blahhh. couldnt process that."
"what is 34 added by 32 multiplied by 34+34","Pheww that was long. Anyways I guess it's {0}","Pheww that was long. I couldn't"
